Crime,Latitude,Longitude,Year,Neighborhood
CAR PROWL,-122.3452207,47.52308528,2015,Highland Park
VEHICLE THEFT,-122.3869887,47.5538899,2015,Seaview
WARRANT ARREST,-122.3175691,47.59582098,2015,International District
ASSAULT,-122.3670249,47.62559367,2015,Interbay
WARRANT ARREST,-122.3404557,47.61096359,2015,Central Business District
OTHER PROPERTY,-122.3314461,47.61171146,2015,Central Business District
CAR PROWL,-122.2741406,47.6873624,2015,View Ridge
DISTURBANCE,-122.3319521,47.66137795,2015,Wallingford
VEHICLE THEFT,-122.3279712,47.70995356,2015,Pinehurst
BURGLARY,-122.3101449,47.61702721,2015,Stevens
BURGLARY,-122.3363363,47.60564046,2015,Central Business District
BURGLARY,-122.3861649,47.67091421,2015,Adams
FRAUD,-122.3166652,47.6579168,2014,University District
ASSAULT,-122.32945,47.60901496,2015,First Hill
CAR PROWL,-122.2738126,47.67379599,2015,Windermere
ASSAULT,-122.33845,47.62320855,2015,South Lake Union
CAR PROWL,-122.3635527,47.64451826,2015,North Queen Anne
STOLEN PROPERTY,-122.3768007,47.69367379,2015,Crown Hill
WARRANT ARREST,-122.3089432,47.60616955,2015,Minor
OTHER PROPERTY,-122.3207714,47.61351951,2015,First Hill
BURGLARY,-122.3357286,47.70760601,2015,Haller Lake
PROPERTY DAMAGE,-122.3158524,47.6026843,2015,Minor
BURGLARY,-122.2952861,47.54264886,2015,Holly Park
NARCOTICS,-122.3209152,47.6225585,2015,Broadway
FRAUD,-122.3231213,47.67671818,2014,Green Lake
CAR PROWL,-122.3075745,47.69891551,2015,Maple Leaf
BURGLARY,-122.2848584,47.51762118,2015,South Beacon Hill
COUNTERFEIT,-122.3438682,47.63857636,2015,East Queen Anne
CAR PROWL,-122.2827175,47.63036128,2015,Harrison/Denny-Blaine
STOLEN PROPERTY,-122.3239652,47.6480994,2015,Eastlake
CAR PROWL,-122.3408978,47.61061932,2015,Pike-Market
STOLEN PROPERTY,-122.3181418,47.61409217,2015,Broadway
CAR PROWL,-122.3467224,47.612326,2015,Belltown
CAR PROWL,-122.2913569,47.59032003,2014,Mount Baker
WARRANT ARREST,-122.3387017,47.61074277,2014,Central Business District
TRESPASS,-122.3143439,47.6590688,2014,University District
TRESPASS,-122.3155393,47.61469288,2014,Broadway
OTHER PROPERTY,-122.3818201,47.54751432,2014,Fairmount Park
EMBEZZLE,-122.3134365,47.59665466,2014,International District
BURGLARY,-122.3124867,47.57252733,2014,North Beacon Hill
CAR PROWL,-122.3317002,47.62024125,2014,South Lake Union
VEHICLE THEFT,-122.3404582,47.68692826,2014,Green Lake
STOLEN PROPERTY,-122.3621501,47.53551506,2014,High Point
BURGLARY,-122.3295481,47.55376971,2014,Georgetown
CAR PROWL,-122.3207656,47.6129611,2014,First Hill
CAR PROWL,-122.3115761,47.59961524,2014,Atlantic
OTHER PROPERTY,-122.3181502,47.61467441,2014,Broadway
VEHICLE THEFT,-122.3604846,47.52399519,2014,South Delridge
DISTURBANCE,-122.2958335,47.71826372,2014,Cedar Park
STOLEN PROPERTY,-122.2701547,47.53644387,2014,Brighton
BURGLARY,-122.2972269,47.6839547,2014,Wedgwood
OTHER PROPERTY,-122.3218867,47.65781795,2014,University District
FRAUD,-122.3911771,47.54945089,2014,Seaview
DISPUTE,-122.3070043,47.60167497,2014,Minor
STOLEN PROPERTY,-122.3551145,47.52195142,2014,South Delridge
PICKPOCKET,-122.3227575,47.61405746,2014,Broadway
ROBBERY,-122.3505254,47.64970651,2014,Fremont
WARRANT ARREST,-122.3290546,47.58293526,2014,Industrial District
BURGLARY,-122.3006677,47.5735608,2014,North Beacon Hill
OTHER PROPERTY,-122.3913489,47.63552143,2014,Southeast Magnolia
CAR PROWL,-122.3341798,47.60172096,2014,Pioneer Square
CAR PROWL,-122.3449968,47.72503555,2014,Haller Lake
BURGLARY-SECURE PARKING-RES,-122.3402647,47.61554493,2014,Belltown
ASSAULT,-122.3343951,47.66138621,2014,Wallingford
BURGLARY,-122.2872186,47.60857508,2014,Madrona
OTHER PROPERTY,-122.3444858,47.68246233,2014,Phinney Ridge
CAR PROWL,-122.3166652,47.6579168,2014,University District
VEHICLE THEFT,-122.3564066,47.52918162,2014,South Delridge
BURGLARY,-122.311621,47.58809876,2014,North Beacon Hill
BURGLARY,-122.3208823,47.62049181,2014,Broadway
FRAUD,-122.3513322,47.6305558,2014,East Queen Anne
SHOPLIFTING,-122.3384376,47.6182429,2014,Belltown
FRAUD,-122.3445607,47.6938234,2014,Greenwood
TRAFFIC,-122.2952484,47.72109192,2014,Olympic Hills
PROPERTY DAMAGE,-122.3470912,47.63867926,2014,East Queen Anne
VEHICLE THEFT,-122.3716242,47.54623749,2014,High Point
OTHER PROPERTY,-122.3843041,47.55116932,1998,Fairmount Park
BURGLARY,-122.3187318,47.67875451,2014,Roosevelt
WARRANT ARREST,-122.2699954,47.52165752,2014,Dunlap
WARRANT ARREST,-122.3383483,47.60951744,2014,Central Business District
CAR PROWL,-122.3446554,47.70179211,2014,Greenwood
CAR PROWL,-122.3949599,47.66068017,2014,Lawton Park
COUNTERFEIT,-122.3119371,47.67614528,2014,Ravenna
FRAUD,-122.2978611,47.60215857,2014,Mann
ASSAULT,-122.2833998,47.53704366,2014,Holly Park
ANIMAL COMPLAINT,-122.397027,47.67443256,2014,Adams
CAR PROWL,-122.3318602,47.61760857,2014,Belltown
DISTURBANCE,-122.3263655,47.59793449,2014,International District
BURGLARY,-122.3341798,47.60172096,2014,Pioneer Square
OTHER PROPERTY,-122.3055975,47.61291546,2014,Minor
OTHER PROPERTY,-122.3299883,47.58085143,2014,Industrial District
CAR PROWL,-122.3548306,47.54925839,2014,Riverview
FRAUD,-122.3043334,47.70571858,2014,Victory Heights
OTHER PROPERTY,-122.3212333,47.54824144,2014,Georgetown
SHOPLIFTING,-122.3276807,47.59665538,2014,International District
TRAFFIC,-122.3168364,47.61410371,2014,Broadway
PROPERTY DAMAGE,-122.3721349,47.54458668,2014,High Point
OTHER PROPERTY,-122.2523528,47.51068109,2014,Rainier Beach
PROPERTY DAMAGE,-122.3404575,47.64775533,2014,Wallingford
WARRANT ARREST,-122.3411327,47.61004448,2014,Pike-Market
VIOLATION OF COURT ORDER,-122.3854991,47.55477753,2014,Fairmount Park
OTHER PROPERTY,-122.3207895,47.61465549,2014,Broadway
STOLEN PROPERTY,-122.3690673,47.6305661,2014,West Queen Anne
VEHICLE THEFT,-122.3472088,47.69093306,2014,Greenwood
OTHER PROPERTY,-122.2943076,47.62366844,2014,Harrison/Denny-Blaine
VEHICLE THEFT,-122.3881052,47.5693141,2014,Genesee
THREATS,-122.3270102,47.60003307,2014,International District
ROBBERY,-122.3749015,47.66866614,2014,West Woodland
FRAUD,-122.3204074,47.61523808,2014,Broadway
BIKE THEFT,-122.3245839,47.60957018,2014,First Hill
CAR PROWL,-122.3689774,47.63867778,2014,West Queen Anne
VEHICLE THEFT,-122.359385,47.67018923,2014,Phinney Ridge
VEHICLE THEFT,-122.2685429,47.54069458,2014,Seward Park
OTHER PROPERTY,-122.4106894,47.57774027,2014,Alki
CAR PROWL,-122.3378706,47.60647838,2014,Central Business District
CAR PROWL,-122.3267959,47.61578,2014,Broadway
CAR PROWL,-122.3854745,47.55568195,2014,Fairmount Park
VEHICLE THEFT,-122.3283613,47.63824706,2014,Eastlake
BURGLARY,-122.343076,47.63713887,2014,Westlake
CAR PROWL,-122.2821885,47.67305769,2014,Bryant
VEHICLE THEFT,-122.3764226,47.54559328,2014,High Point
THREATS,-122.2938395,47.73104069,2014,Olympic Hills
DISTURBANCE,-122.385483,47.56021005,2014,Genesee
STOLEN PROPERTY,-122.3335291,47.60088239,2014,Pioneer Square
THREATS,-122.3764666,47.54377222,2014,High Point
PICKPOCKET,-122.3456543,47.61403971,2014,Belltown
SHOPLIFTING,-122.3373387,47.60925298,2014,Central Business District
VEHICLE THEFT,-122.3350548,47.65622656,2014,Wallingford
OTHER PROPERTY,-122.2461916,47.50165037,2014,Rainier View
STOLEN PROPERTY,-122.3181689,47.6158384,2014,Broadway
FRAUD,-122.3345243,47.70233163,2014,North College Park
OTHER PROPERTY,-122.3257079,47.59919176,2014,International District
PROPERTY DAMAGE,-122.3019159,47.66751643,2014,University District
CAR PROWL,-122.3349184,47.61163943,2014,Central Business District
FRAUD,-122.3667209,47.69936571,2014,Crown Hill
VEHICLE THEFT,-122.3316509,47.55415188,2014,Georgetown
FRAUD,-122.3359286,47.61190424,2014,Central Business District
OTHER PROPERTY,-122.3257954,47.61004905,2014,First Hill
BIKE THEFT,-122.3239652,47.6480994,2014,Eastlake
VEHICLE THEFT,-122.3246298,47.70231048,2014,Maple Leaf
ROBBERY,-122.3497598,47.61646386,2014,Belltown
OTHER PROPERTY,-122.2961943,47.66634345,2014,Ravenna
OTHER PROPERTY,-122.3460303,47.70433103,2014,Greenwood
BURGLARY,-122.3288289,47.71648993,2014,Haller Lake
CAR PROWL,-122.3449968,47.72503555,2014,Haller Lake
WARRANT ARREST,-122.320054,47.61757696,2014,Broadway
CAR PROWL,-122.3568904,47.64323773,2014,North Queen Anne
CAR PROWL,-122.3207714,47.61351951,2014,First Hill
STOLEN PROPERTY,-122.3589143,47.65256107,2014,Fremont
OTHER PROPERTY,-122.3408978,47.61061932,2014,Pike-Market
CAR PROWL,-122.312123,47.59664919,2014,International District
CAR PROWL,-122.300138,47.6107954,2014,Mann
DISTURBANCE,-122.3531686,47.61730888,2014,Belltown
CAR PROWL,-122.3348812,47.60172267,2014,Pioneer Square
VEHICLE THEFT,-122.2873165,47.54607698,2014,Mid-Beacon Hill
BURGLARY,-122.3458611,47.68766494,2014,Greenwood
PROPERTY DAMAGE,-122.3645124,47.52738184,2014,South Delridge
