"(47.62046181, -122.30142676)"
"(47.66456385, -122.36669352)"
"(47.62500007, -122.29963055)"
"(47.64025602, -122.37531302)"
"(47.65160415, -122.3786024)"
"(47.67338391, -122.38870105)"
"(47.56269521, -122.28831972)"
"(47.58985621, -122.3142736)"
"(47.57368579, -122.38652006)"
"(47.67330119, -122.38831115)"
"(47.67330101, -122.38850918)"
"(47.61384156, -122.31393909)"
"(47.62177959, -122.34293264)"
"(47.54162014, -122.38758142)"
"(47.67326837, -122.38849308)"
"(47.56094576, -122.28038145)"
"(47.64626735, -122.33755394)"
"(47.65288488, -122.34848834)"
"(47.58707306, -122.30921014)"
"(47.69987448, -122.33905612)"
"(47.63607388, -122.34277082)"
"(47.65110439, -122.34319631)"
"(47.68303877, -122.38792822)"
"(47.56042031, -122.38090953)"
"(47.59979509, -122.2983447)"
"(47.56599966, -122.36962693)"
"(47.65237174, -122.35543763)"
"(47.67340853, -122.38830393)"
"(47.55943696, -122.28953458)"
"(47.66457664, -122.36695408)"
"(47.63125367, -122.34798581)"
"(47.66122497, -122.33696366)"
"(47.62442831, -122.32679123)"
"(47.58975166, -122.3109657)"
"(47.52238845, -122.32940004)"
"(47.53932513, -122.36314398)"
"(47.60669167, -122.33701094)"
"(47.66971513, -122.2981606)"
"(47.62044498, -122.35651609)"
"(47.55961839, -122.28947535)"
"(47.56203701, -122.28816414)"
"(47.56216286, -122.28803458)"
"(47.59616275, -122.29926635)"
"(47.55323855, -122.28036398)"
"(47.58868189, -122.30494235)"
"(47.66182928, -122.31624038)"
"(47.65106527, -122.27681339)"
"(47.60313543, -122.29628453)"
"(47.70822473, -122.31917356)"
"(47.63846789, -122.35515891)"
"(47.62002713, -122.33940566)"
"(47.65092988, -122.35110434)"
"(47.62148685, -122.32704375)"
"(47.72336441, -122.31421704)"
"(47.59176906, -122.38292791)"
"(47.61756511, -122.33229667)"
"(47.5296161, -122.39239875)"
"(47.65847044, -122.3507979)"
"(47.66546259, -122.40764982)"
"(47.66329019, -122.30426047)"
"(47.60895067, -122.3125312)"
"(47.62118988, -122.29807873)"
"(47.65198501, -122.36406547)"
"(47.60251514, -122.32048883)"
"(47.57171106, -122.37376642)"
"(47.67329981, -122.38870377)"
"(47.67217771, -122.39033697)"
"(47.69993117, -122.32796938)"
"(47.69936679, -122.33402554)"
"(47.65691318, -122.34832571)"
"(47.65727739, -122.36177201)"
"(47.59987003, -122.33070405)"
"(47.73215806, -122.3713679)"
"(47.55764074, -122.27666306)"
"(47.65318061, -122.34569326)"
"(47.62557779, -122.34014632)"
"(47.66706187, -122.30369721)"
"(47.6260963, -122.34323455)"
"(47.59346791, -122.30792621)"
"(47.54961527, -122.34451732)"
"(47.65375456, -122.3129066)"
"(47.67253096, -122.38133085)"
"(47.56993461, -122.286955)"
"(47.6939539, -122.35426157)"
"(47.65048101, -122.38365087)"
"(47.7222273, -122.34219625)"
"(47.67377743, -122.25365354)"
"(47.59950383, -122.29967001)"
"(47.63595275, -122.39952762)"
"(47.67330374, -122.38911142)"
"(47.67184442, -122.37751207)"
"(47.64156033, -122.34204953)"
"(47.6139111, -122.31853091)"
"(47.65691721, -122.34827779)"
"(47.63439192, -122.34722197)"
"(47.67329548, -122.3824063)"
"(47.67519529, -122.31839733)"
"(47.61689116, -122.33411022)"
"(47.62334132, -122.33458524)"
"(47.66882483, -122.40137448)"
"(47.63853683, -122.3424569)"
"(47.66840914, -122.39956653)"
"(47.58762444, -122.31140959)"
"(47.65716506, -122.36176139)"
"(47.7033903, -122.35925243)"
"(47.63928258, -122.33006438)"
"(47.68428751, -122.37643169)"
"(47.62644973, -122.30430883)"
"(47.68150975, -122.34465101)"
"(47.60984592, -122.32440011)"
"(47.63275501, -122.34251041)"
"(47.61350263, -122.2922769)"
"(47.63070474, -122.35536346)"
"(47.62119559, -122.29833921)"
"(47.68110375, -122.34862292)"
"(47.6108854, -122.3163962)"
"(47.58855976, -122.30496698)"
"(47.59616022, -122.29906213)"
